ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
8672,-0.35085690343997505,1,1,2,29,-1,-1,-1,-2,-1,-1,38840.0,197.0,-61.0,-61.0,20207.0,538.0,197.0,0.0,0.0,20268.0,538.0,29995.0,0
28214,-0.1889450627994524,2,3,1,45,0,0,0,0,0,0,311401.0,218298.0,222424.0,220058.0,199376.0,189840.0,21084.0,20000.0,12000.0,15000.0,8000.0,15000.0,0
17185,-1.0108505105762837,2,2,2,26,0,0,0,0,0,0,16150.0,17880.0,22248.0,26842.0,35997.0,55272.0,2000.0,5000.0,5000.0,10000.0,20000.0,15000.0,0
27286,0.5507440024877529,1,1,2,32,0,0,0,0,0,0,217798.0,202676.0,199490.0,181857.0,183324.0,177920.0,10050.0,10123.0,10001.0,6244.0,6315.0,7037.0,0
3378,0.15440434629553926,1,2,1,26,0,0,0,0,0,0,48992.0,49689.0,31368.0,9454.0,6020.0,5000.0,1769.0,1003.0,189.0,120.0,100.0,3710.0,0
24176,-0.040667579236387925,1,2,2,30,-1,-1,-1,-1,-1,-1,2494.0,1991.0,1497.0,998.0,697.0,-103.0,1997.0,1506.0,1001.0,699.0,0.0,897.0,0
22966,-0.20881149914992544,2,1,1,33,0,0,0,0,0,0,372926.0,354068.0,327342.0,247528.0,128386.0,128820.0,13248.0,9543.0,6106.0,3013.0,3398.0,6067.0,0
22759,-0.7632986626976347,2,3,2,37,-1,-1,-1,-1,-1,-1,13438.0,9241.0,7924.0,13416.0,2228.0,4490.0,9315.0,7924.0,13421.0,2240.0,4490.0,10834.0,0
9094,-0.47666776558335017,2,2,1,30,2,0,0,-2,-2,-2,6425.0,4580.0,0.0,0.0,0.0,0.0,1050.0,0.0,0.0,0.0,0.0,0.0,1
25671,-0.7024311683925434,2,2,1,39,0,0,0,0,0,0,35465.0,36480.0,37893.0,39266.0,40120.0,40961.0,1600.0,2000.0,2000.0,1500.0,1479.0,1504.0,0
16344,0.881509582909024,2,1,1,35,1,2,0,0,0,0,205002.0,195441.0,192803.0,304997.0,188504.0,189527.0,41.0,8597.0,8583.0,6880.0,7235.0,6839.0,1
28690,-0.24692799898756987,2,2,1,31,1,-1,2,-1,0,0,0.0,427.0,427.0,23321.0,23475.0,25218.0,427.0,0.0,23500.0,840.0,2121.0,0.0,0
25422,0.6092050539930332,2,1,2,22,-1,-1,-1,-1,-1,-2,846.0,3173.0,1972.0,182.0,0.0,0.0,3173.0,1972.0,183.0,0.0,0.0,440.0,0
1398,0.6220763470009365,2,2,1,35,0,0,0,-1,-1,0,5157.0,2461.0,0.0,277.0,2599.0,3941.0,1012.0,0.0,277.0,2602.0,2019.0,1123.0,0
9013,-0.09608299640794302,2,2,1,29,1,4,3,2,2,2,85264.0,83376.0,81445.0,82710.0,84242.0,82730.0,0.0,0.0,3200.0,3000.0,0.0,3300.0,0
21897,0.10655477638132277,2,2,1,27,1,-1,-1,-1,-1,-1,0.0,376.0,0.0,390.0,698.0,636.0,376.0,0.0,390.0,698.0,636.0,456.0,0
15749,-0.35267744532189316,2,2,1,23,1,2,0,0,0,2,15988.0,16219.0,17626.0,18398.0,19052.0,15429.0,794.0,1674.0,1446.0,1100.0,0.0,379.0,0
2059,-0.8532086076113824,1,1,1,35,1,2,2,2,2,0,17365.0,18102.0,17514.0,20207.0,19745.0,20263.0,1310.0,0.0,3000.0,0.0,1000.0,1000.0,0
8601,0.636350517678633,1,1,2,28,-1,-1,2,0,0,0,9262.0,11792.0,11311.0,11820.0,13558.0,20271.0,3000.0,0.0,1000.0,2100.0,7000.0,0.0,1
19612,-0.3146240333970722,2,2,2,30,-2,-1,0,0,0,0,0.0,63508.0,59835.0,60963.0,59337.0,71089.0,63508.0,2300.0,2200.0,2200.0,25000.0,2400.0,0
8842,0.7132506876177748,2,1,1,32,-2,-2,-2,-2,-2,-2,871.0,3179.0,3344.0,3552.0,0.0,0.0,3381.0,3384.0,3958.0,0.0,0.0,0.0,0
25070,0.703196619594519,1,2,1,48,2,0,0,0,0,0,121409.0,123106.0,125614.0,125451.0,84103.0,84436.0,6000.0,6592.0,4000.0,3000.0,3062.0,4000.0,1
4343,-0.3320019854326471,2,1,2,26,0,0,0,0,0,0,104546.0,105326.0,111987.0,112652.0,114337.0,115105.0,4000.0,10000.0,4000.0,5000.0,4200.0,4500.0,0
18263,0.03075504891405051,1,1,1,54,-2,-1,2,-1,0,0,1003.0,1632.0,629.0,13371.0,12383.0,8260.0,1632.0,0.0,13371.0,15.0,0.0,2512.0,0
1240,-0.1335681088239164,2,2,1,35,-1,-1,-1,-1,-1,0,2890.0,9796.0,13443.0,396.0,396.0,396.0,9796.0,13443.0,396.0,396.0,0.0,396.0,0
29328,-1.1849891071027316,1,1,2,27,0,0,0,0,0,0,21506.0,18304.0,15783.0,16815.0,17236.0,17807.0,1600.0,2000.0,1600.0,1000.0,1000.0,1000.0,0
25820,0.22883847156035847,2,1,2,30,-2,-2,-2,-2,-2,-2,2946.0,3326.0,132.0,-20.0,-20.0,680.0,3326.0,150.0,0.0,0.0,700.0,0.0,0
13964,-0.30806848590259744,2,2,2,39,0,0,0,0,0,0,502904.0,481990.0,476680.0,402695.0,362128.0,347271.0,180000.0,17000.0,12638.0,12058.0,11101.0,9567.0,0
2905,-0.622745792376752,1,2,1,49,0,0,0,0,0,0,75565.0,64833.0,48586.0,48430.0,48150.0,48271.0,4009.0,5000.0,2000.0,2000.0,2000.0,1800.0,0
1141,-0.9801956311461937,1,2,2,25,0,0,0,-2,-1,0,3400.0,4129.0,0.0,0.0,3244.0,3314.0,1000.0,0.0,0.0,3244.0,124.0,66.0,0
21996,0.16191410069169637,2,2,2,27,0,0,0,0,0,0,42713.0,50270.0,22576.0,18247.0,22029.0,19540.0,10000.0,10000.0,1500.0,4000.0,5000.0,5000.0,0
7305,0.03615228858909121,2,2,1,37,0,0,0,0,0,0,78089.0,75159.0,76602.0,76896.0,78588.0,77770.0,3333.0,3310.0,2900.0,3040.0,3500.0,2300.0,0
13301,-0.5365301924694186,2,2,1,41,1,3,2,2,2,2,51345.0,50249.0,51421.0,52684.0,51400.0,0.0,0.0,2300.0,2400.0,0.0,0.0,0.0,1
552,0.4693823707410245,2,1,2,41,-1,-1,-1,-1,-1,-1,28204.0,0.0,16500.0,0.0,26854.0,554.0,0.0,16500.0,0.0,26854.0,500.0,0.0,1
4207,-0.23007081173301983,2,2,1,37,-1,-1,-1,-1,-1,-1,2522.0,0.0,1261.0,1261.0,1261.0,1261.0,0.0,1261.0,1261.0,1261.0,1261.0,390.0,0
2209,-0.012495241286334993,1,1,1,45,1,-2,-1,-1,-1,-1,-50.0,-440.0,170.0,-220.0,390.0,0.0,0.0,1000.0,0.0,1000.0,0.0,780.0,0
3485,-0.870915571871742,1,2,2,27,0,0,0,0,0,0,99668.0,100181.0,99156.0,80234.0,80090.0,79494.0,4850.0,3740.0,2798.0,2865.0,3020.0,2377.0,0
6570,1.8102920776839442,1,2,2,48,3,2,0,0,0,0,12961.0,12029.0,11738.0,11011.0,9888.0,10076.0,507.0,1158.0,373.0,365.0,359.0,1111.0,1
3744,-0.17647357958564286,1,2,1,45,2,2,2,2,2,0,33547.0,36991.0,35965.0,37246.0,36781.0,20650.0,4000.0,0.0,2000.0,0.0,1200.0,0.0,0
27347,-0.06292635150341111,1,2,2,30,0,0,-1,0,0,0,7534.0,4704.0,15226.0,16528.0,16128.0,19800.0,2000.0,15300.0,2000.0,0.0,4200.0,0.0,0
1400,0.45636761678276644,2,1,2,23,0,0,0,0,0,2,34422.0,32703.0,22851.0,6699.0,10060.0,7737.0,1544.0,1000.0,0.0,3361.0,0.0,100.0,0
2682,-0.48076330371248,2,1,2,34,-1,-1,-2,-1,0,-1,900.0,0.0,0.0,740.0,740.0,545.0,0.0,0.0,740.0,0.0,545.0,550.0,0
16307,0.4078411465933454,2,2,2,33,0,0,0,0,0,0,30336.0,29965.0,28048.0,29775.0,27736.0,26956.0,3005.0,2000.0,3000.0,3000.0,2000.0,2000.0,0
6311,0.4217795335096214,2,1,1,33,-2,-2,-2,-2,-2,-1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,300.0,0
13662,-0.12960936616854313,2,1,2,38,0,0,0,0,0,0,56197.0,55246.0,62402.0,42594.0,43652.0,38254.0,5000.0,10004.0,8000.0,3000.0,5000.0,8000.0,0
11101,-0.3994525682461144,1,2,2,24,0,0,0,0,0,0,105927.0,65575.0,66495.0,67415.0,68538.0,78911.0,2375.0,2395.0,2397.0,2583.0,12000.0,2583.0,0
4927,0.13260159936362306,1,1,2,31,1,-1,2,2,-1,-1,0.0,3405.0,2973.0,0.0,962.0,3481.0,3405.0,0.0,0.0,962.0,3481.0,9.0,0
18096,0.44255829586859324,1,1,1,38,0,0,0,0,0,0,113807.0,103759.0,90827.0,78887.0,57682.0,35493.0,4511.0,3300.0,4505.0,4200.0,2500.0,25151.0,0
3081,0.6022433827506636,2,3,1,32,0,0,0,0,0,0,42740.0,44744.0,47539.0,17360.0,17928.0,19619.0,3000.0,4000.0,1000.0,1000.0,2000.0,1000.0,0
23052,-0.3020387028285508,2,2,1,39,-1,2,2,-1,-1,-1,1220.0,330.0,165.0,5773.0,3598.0,3598.0,170.0,0.0,5773.0,3598.0,3598.0,6208.0,0
4578,-0.13205874597734554,2,1,1,35,-1,-1,-1,-1,-1,-1,288.0,392.0,-4.0,392.0,396.0,396.0,500.0,0.0,792.0,400.0,396.0,792.0,0
17298,0.642289686655089,2,3,2,33,0,0,0,0,0,0,107044.0,103077.0,98328.0,93376.0,87491.0,80156.0,5000.0,5000.0,5000.0,2000.0,8500.0,3000.0,0
18006,1.6926737258402382,1,2,1,39,2,2,2,2,2,2,26493.0,30034.0,29268.0,31776.0,32456.0,31800.0,4000.0,0.0,3000.0,1500.0,0.0,2600.0,1
6512,-0.03326483842206229,2,2,1,61,-1,-1,-1,-1,-1,-1,780.0,0.0,780.0,387.0,-3.0,4540.0,0.0,780.0,387.0,0.0,4543.0,1386.0,0
17605,-0.028228030361107277,2,3,1,43,-1,-1,-1,-1,-1,-2,780.0,0.0,390.0,780.0,0.0,0.0,0.0,780.0,780.0,0.0,0.0,0.0,0
23496,0.282833934357263,2,2,2,31,0,0,0,2,2,2,36434.0,39925.0,43350.0,42057.0,26877.0,26493.0,4100.0,4073.0,0.0,1600.0,0.0,1100.0,1
6933,-0.6224053678457127,1,1,2,37,-1,-1,-1,-1,-1,-1,4331.0,60446.0,30592.0,154167.0,13410.0,25426.0,60446.0,30594.0,150843.0,163881.0,25426.0,39526.0,1
10865,0.2049190506067722,2,5,2,22,0,0,0,0,0,0,61094.0,61260.0,55730.0,29846.0,28600.0,28970.0,3000.0,3000.0,2000.0,1500.0,1500.0,2000.0,0
24841,0.0821443491243317,1,1,2,46,-1,-1,-1,-1,-1,-1,1338.0,711.0,1941.0,1052.0,2004.0,931.0,711.0,1945.0,1052.0,2004.0,931.0,1499.0,0
3880,0.49822312966711724,1,2,2,52,0,0,0,0,0,0,87186.0,87526.0,88924.0,88735.0,87521.0,85699.0,3505.0,3962.0,2909.0,3107.0,3127.0,3032.0,0
14870,0.5452503872740053,1,1,1,34,-1,-1,-1,-1,-1,-1,780.0,0.0,390.0,3672.0,390.0,390.0,0.0,390.0,3672.0,390.0,390.0,390.0,0
2248,0.9558627934195499,1,2,1,36,1,2,2,2,0,0,168708.0,172528.0,174328.0,170028.0,174281.0,185348.0,8000.0,6100.0,0.0,7000.0,14000.0,7000.0,1
14151,0.758206939787144,1,1,1,41,1,2,0,0,0,0,48063.0,46565.0,38617.0,8999.0,8870.0,5876.0,0.0,1906.0,500.0,500.0,300.0,1000.0,1
15778,-0.34530053784688913,2,2,2,25,1,2,2,2,0,0,8599.0,9695.0,10385.0,9987.0,9987.0,0.0,1400.0,1000.0,0.0,0.0,0.0,0.0,1
24343,-0.32983424514120596,1,2,1,42,0,0,0,0,2,2,14310.0,15665.0,16706.0,18214.0,18626.0,18196.0,1600.0,1600.0,2100.0,1000.0,0.0,1500.0,1
2689,0.511858863017252,2,1,2,30,0,0,0,0,0,0,284239.0,284692.0,230891.0,232778.0,235004.0,226959.0,11000.0,10000.0,8000.0,10000.0,8000.0,7500.0,1
14084,0.6260065925565683,1,2,1,50,0,0,0,0,0,0,225274.0,230414.0,237135.0,241033.0,246081.0,250971.0,8773.0,10561.0,8629.0,8934.0,8984.0,9306.0,1
9730,0.35050846943614755,2,1,2,29,0,-1,-1,-1,0,-1,26857.0,9505.0,8933.0,14357.0,24549.0,3031.0,9511.0,8933.0,14357.0,15000.0,3031.0,20993.0,0
18252,-0.394951610654031,1,1,2,52,0,0,0,0,0,0,227634.0,356216.0,247706.0,239805.0,242653.0,39496.0,18000.0,12370.0,6552.0,6936.0,395.0,0.0,0
15547,0.6526537009060825,1,1,1,47,-1,-1,-1,-1,-1,-1,3587.0,3187.0,3190.0,1982.0,3590.0,3590.0,3200.0,3203.0,1992.0,3608.0,3600.0,3602.0,0
16545,-0.13649761402964544,1,3,2,27,0,0,0,0,0,0,49684.0,45435.0,37636.0,32034.0,28133.0,23860.0,1961.0,2075.0,1294.0,999.0,934.0,849.0,0
17767,0.2863961667590392,2,3,2,55,0,0,0,0,0,0,116336.0,121544.0,128243.0,115204.0,101158.0,95895.0,10063.0,20000.0,10009.0,10000.0,5000.0,5000.0,0
2902,-0.34864878917137226,1,1,1,39,-1,-1,2,2,-1,2,3391.0,775.0,450.0,125.0,800.0,325.0,1000.0,0.0,0.0,1000.0,0.0,650.0,0
26344,0.8188521089940445,2,1,2,29,-2,-2,-2,-2,-2,-1,0.0,0.0,0.0,0.0,0.0,62043.0,0.0,0.0,0.0,0.0,62043.0,16533.0,0
23065,0.4826845495621675,2,2,1,47,-1,-1,-2,-2,-2,-2,11900.0,4256.0,4000.0,4000.0,4000.0,4000.0,4256.0,4000.0,4000.0,4000.0,4000.0,4000.0,0
6083,0.16977582914003442,2,2,1,41,1,2,2,2,2,0,15910.0,15370.0,16490.0,16962.0,15446.0,14739.0,0.0,1700.0,1002.0,2.0,684.0,442.0,0
7350,0.9088872743586194,1,2,2,41,2,0,0,0,0,0,80140.0,80627.0,80668.0,49233.0,48737.0,48280.0,3253.0,3211.0,1691.0,1721.0,1800.0,1576.0,1
12051,-0.07748930327835041,2,3,0,37,-2,-2,-2,-2,-2,-2,7070.0,3087.0,5210.0,3882.0,4785.0,1000.0,3087.0,5215.0,3882.0,4785.0,1968.0,0.0,0
24229,1.1749085336336913,1,1,2,30,1,2,0,0,2,0,49233.0,48146.0,50029.0,50921.0,48809.0,49639.0,0.0,3000.0,5000.0,0.0,1815.0,2000.0,1
16866,0.24978207947398268,1,3,2,36,0,-1,-1,-1,-1,0,9001.0,1687.0,1409.0,16200.0,19880.0,9110.0,1702.0,1422.0,16281.0,20062.0,500.0,25070.0,0
22742,0.6357279106783155,2,2,1,36,0,0,0,0,0,0,73873.0,61134.0,49746.0,49033.0,48553.0,48377.0,2006.0,8199.0,2000.0,1700.0,2000.0,2000.0,0
14702,-0.179215738551749,1,2,1,37,0,0,0,0,0,-1,149227.0,152331.0,153080.0,156000.0,160000.0,40485.0,5505.0,3258.0,3120.0,4000.0,100045.0,10000.0,0
20075,0.2344766657243317,2,1,1,41,0,0,0,0,0,0,129776.0,126395.0,129371.0,132218.0,136003.0,139798.0,5000.0,5000.0,5000.0,6000.0,6000.0,5098.0,0
570,0.10372574010154487,2,1,1,40,0,0,0,-2,-2,-2,18751.0,5706.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0
19629,0.15403128024398205,2,2,1,46,1,-1,-1,-1,-2,-2,0.0,766.0,305.0,0.0,0.0,0.0,766.0,305.0,0.0,0.0,0.0,0.0,0
12923,-0.08374969952955415,2,2,2,33,2,2,0,0,2,2,61367.0,59814.0,61816.0,65180.0,63979.0,63733.0,0.0,3000.0,5010.0,0.0,5000.0,0.0,1
25528,-0.04860728986848928,2,2,2,33,-2,-1,0,0,2,2,-216.0,2784.0,5723.0,8607.0,8336.0,10209.0,3000.0,3000.0,3000.0,0.0,2000.0,0.0,0
15431,0.034934327554260215,1,1,1,24,0,0,0,0,0,0,47734.0,47025.0,48102.0,48612.0,49465.0,50299.0,1763.0,1840.0,1751.0,1717.0,1773.0,1845.0,0
21620,0.39157291033783687,2,2,1,23,0,0,0,0,0,0,79874.0,60000.0,47160.0,32382.0,8706.0,3876.0,2100.0,2026.0,4360.0,2000.0,1000.0,2057.0,0
17656,-0.6073164121528316,2,1,1,40,-1,-1,-1,-1,-1,-1,989.0,989.0,989.0,989.0,990.0,702.0,991.0,991.0,991.0,992.0,703.0,992.0,0
13563,-0.013619424450409387,2,1,2,56,0,0,0,-2,-2,-2,203653.0,23520.0,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0
11750,-0.5619594536999374,2,2,1,45,0,0,2,2,2,2,46248.0,50893.0,48854.0,50901.0,50015.0,48179.0,5750.0,0.0,3800.0,1890.0,0.0,1850.0,1
2967,0.025689491815399628,1,3,1,46,0,0,0,0,0,0,49083.0,27822.0,28702.0,29119.0,29240.0,28664.0,1463.0,1733.0,1150.0,1480.0,1200.0,3135.0,0
4893,-0.38850644293073583,2,2,1,47,0,0,0,0,0,0,48888.0,47988.0,9757.0,8941.0,9893.0,6181.0,1900.0,1139.0,2000.0,1000.0,300.0,500.0,0
23306,0.13339081279877066,2,2,1,42,-2,-2,-2,-2,-2,-2,0.0,0.0,3168.0,0.0,0.0,550.0,0.0,3168.0,0.0,0.0,550.0,0.0,0
13845,-0.18552278083866836,2,2,2,25,0,0,0,2,2,2,25664.0,26693.0,28456.0,29687.0,30690.0,31093.0,1448.0,2211.0,2000.0,1626.0,1049.0,11.0,0
22783,-0.5426918091755556,2,2,1,45,0,0,0,0,0,0,17613.0,19009.0,20361.0,18722.0,12514.0,8905.0,2000.0,2000.0,1009.0,0.0,2000.0,0.0,0
4650,-0.6012779908878355,2,2,2,25,0,0,2,0,0,0,39033.0,37002.0,21933.0,16137.0,16030.0,15373.0,6455.0,0.0,1500.0,3000.0,5000.0,5000.0,0
25741,-0.5370266238276051,2,1,1,43,0,-1,-1,-1,-1,-1,30000.0,28490.0,33490.0,30636.0,30240.0,0.0,28647.0,35000.0,30636.0,30241.0,0.0,179.0,0
18909,0.2362685949359567,2,1,2,28,-1,-1,-1,-1,-1,-1,5850.0,4388.0,3638.0,7489.0,2684.0,9448.0,4388.0,3638.0,7489.0,2684.0,9448.0,5841.0,0
20688,-0.11970784749370846,1,1,2,28,2,2,2,2,2,2,175154.0,175790.0,153515.0,130864.0,131569.0,128983.0,5100.0,50.0,14500.0,4500.0,296.0,4500.0,0
10881,-0.5553401646809362,2,2,1,23,0,0,0,0,-1,0,50643.0,50199.0,23986.0,-17250.0,20129.0,20502.0,2741.0,2079.0,2177.0,41608.0,713.0,837.0,0
9674,0.4522533278265157,1,1,1,39,-1,-1,0,-1,-1,-1,8374.0,17634.0,38000.0,1140.0,997.0,1633.0,17634.0,21000.0,1140.0,997.0,1633.0,0.0,0
25544,-0.6288587452692457,2,1,1,41,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
16235,-0.17230083614513905,2,1,1,40,1,-2,-2,-1,-1,-1,0.0,0.0,0.0,4351.0,0.0,6200.0,0.0,0.0,4351.0,0.0,6200.0,5276.0,0
13327,1.136902881723805,1,2,2,27,0,0,0,0,0,0,47261.0,48054.0,47434.0,20099.0,18682.0,18538.0,2055.0,1935.0,675.0,662.0,650.0,666.0,1
4600,0.8391585632644412,2,3,2,32,0,0,0,0,0,0,21981.0,24610.0,27009.0,26671.0,24826.0,22287.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,0
15752,0.39918627001757684,2,1,2,23,2,0,0,0,0,0,17476.0,18807.0,15784.0,19062.0,19444.0,20004.0,2000.0,1500.0,4300.0,624.0,800.0,600.0,1
3823,-0.7871056040226918,2,3,2,27,1,4,3,2,0,0,84718.0,82861.0,80581.0,51537.0,51381.0,48866.0,0.0,0.0,0.0,1790.0,1890.0,1740.0,1
24511,0.20558730131060982,1,2,2,31,0,0,0,0,0,0,50275.0,45673.0,48833.0,31769.0,9713.0,9521.0,2000.0,5000.0,2500.0,500.0,317.0,1000.0,0
20398,0.16478574951379762,1,1,1,37,-1,-1,-1,-1,0,0,2849.0,30999.0,53425.0,76538.0,106032.0,66535.0,45205.0,55328.0,77000.0,30048.0,30015.0,15056.0,0
23886,1.1983117630803306,1,1,2,36,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
22988,0.24697421863024768,2,1,2,38,-2,-2,-2,-2,-2,-2,2431.0,29426.0,5288.0,1823.0,19879.0,1974.0,31386.0,5296.0,1823.0,19884.0,1974.0,9686.0,0
15977,-0.45662597391163656,2,2,1,48,1,2,0,0,0,0,18704.0,18106.0,19793.0,19378.0,18874.0,19361.0,0.0,2000.0,1500.0,1000.0,2000.0,1000.0,1
9157,0.8601331728206585,2,2,1,39,0,0,0,0,0,0,46202.0,47359.0,48316.0,28220.0,29260.0,30173.0,2200.0,2111.0,1015.0,1500.0,1400.0,5350.0,0
10753,-0.22328146739977037,1,2,1,32,0,0,0,0,0,0,181224.0,143173.0,145293.0,148871.0,152309.0,155769.0,7000.0,6000.0,6000.0,6000.0,6000.0,8000.0,0
8650,-0.11808852656044687,2,1,2,22,0,0,0,0,2,0,3978.0,5249.0,6362.0,7256.0,6995.0,7228.0,1500.0,1362.0,1000.0,0.0,350.0,300.0,1
21942,-0.4208289914133767,2,2,1,27,-1,-1,2,0,0,0,191.0,20391.0,19292.0,19545.0,18945.0,19494.0,20200.0,0.0,1310.0,678.0,854.0,767.0,0
18175,-0.9322687474838559,1,2,2,39,0,0,0,0,0,0,103159.0,91253.0,81847.0,79489.0,77040.0,78892.0,5000.0,3000.0,4000.0,3000.0,3000.0,3000.0,0
12144,1.4718905940375564,2,3,3,41,-2,-2,-2,-2,-2,-2,2795.0,198.0,2310.0,973.0,406.0,1317.0,941.0,3637.0,973.0,406.0,2228.0,1923.0,0
3447,0.6872380132097194,2,2,2,33,0,0,0,0,0,0,198878.0,195883.0,190282.0,164492.0,165076.0,166008.0,7700.0,7527.0,4900.0,5100.0,5300.0,4610.0,1
13537,0.5389651560666667,2,1,2,32,0,0,0,0,0,0,14254.0,19902.0,17822.0,15022.0,13051.0,10790.0,10000.0,2000.0,1000.0,2000.0,1790.0,1000.0,0
22125,0.5531297277455554,2,2,2,26,3,2,2,2,2,2,45088.0,46040.0,46998.0,47929.0,46860.0,51931.0,2000.0,2000.0,2000.0,0.0,6000.0,0.0,1
3463,0.21666552050281182,1,2,1,37,0,0,0,0,0,0,199669.0,204168.0,202381.0,172574.0,171795.0,170960.0,9300.0,7851.0,6400.0,6500.0,6537.0,6200.0,0
21433,0.19054765350970837,2,1,2,28,0,-1,-1,-1,-1,-1,12018.0,39270.0,603.0,2288.0,1380.0,2028.0,39270.0,603.0,2288.0,1380.0,2028.0,390.0,0
12484,0.387521378151551,2,1,2,28,0,-1,-1,-1,-1,-1,2386.0,3166.0,2776.0,2386.0,3166.0,2983.0,3166.0,2776.0,7158.0,3166.0,2983.0,2386.0,0
7931,-0.008347476659355008,2,2,1,47,1,-1,-1,-1,-1,-1,-6.0,1160.0,1807.0,-11.0,2220.0,165.0,1166.0,1891.0,0.0,2231.0,165.0,1573.0,1
24513,-0.2645944800634729,1,1,2,36,-2,-2,-2,-2,-2,-2,198.0,1979.0,500.0,55176.0,5950.0,289.0,1979.0,500.0,55176.0,5950.0,289.0,6757.0,0
18754,-0.02858153613826708,2,2,2,27,0,0,0,0,0,0,197019.0,182336.0,182617.0,166031.0,148157.0,142034.0,6040.0,12538.0,5047.0,10522.0,6082.0,10018.0,0
6024,-0.5517783632915801,2,3,1,71,0,0,0,2,0,0,64670.0,66197.0,70867.0,54425.0,55555.0,48530.0,3166.0,6550.0,0.0,2033.0,1915.0,1708.0,0
